year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2001,BMW,X5,SUV,automatic,ca,27,183783,burgundy,black,aaero sweet company,2700,2400,Dec
2002,Toyota,Camry,Sedan,automatic,ca,0,166231,white,â€”,california fleet inc,2850,3450,Dec
2002,Toyota,Highlander,SUV,automatic,ca,0,131463,silver,â€”,galaxy european,5475,3900,Dec
2002,Toyota,Camry,Sedan,automatic,ca,0,175639,white,â€”,billion dodge chrysler jeep,2800,3400,Dec
2001,Toyota,Celica,Hatchback,automatic,ca,0,148643,silver,â€”,toyota of orange,2175,2000,Dec
2001,BMW,5 Series,Wagon,automatic,ca,0,80740,blue,â€”,apexcars net,4125,2500,Dec
2001,Lexus,LS 430,Sedan,automatic,ca,19,173297,gold,tan,logistics leasing,6150,6900,Dec
2002,Toyota,Camry,Sedan,automatic,ca,26,170675,gray,gray,ideal transportation,2850,3300,Dec
2000,Toyota,Corolla,Sedan,automatic,ca,0,128363,beige,tan,bmw of san diego,1675,2500,Dec
2000,BMW,3 Series,Sedan,automatic,ca,0,98498,blue,gray,liberty chevrolet,2550,3000,Dec
2000,Toyota,4Runner,SUV,automatic,ca,0,261437,silver,â€”,toyota of orange,1975,3100,Dec
2000,Toyota,Camry,Sedan,automatic,ca,26,117183,gray,gray,wondries toyota,2425,3200,Dec
2000,Toyota,sienna,,automatic,ca,0,114536,green,â€”,mercedes benz of pleasanton,2475,2650,Dec
2000,BMW,3 Series,Sedan,automatic,ca,0,162839,silver,â€”,j m auto imports corp,1650,1200,Dec
2000,Toyota,Corolla,Sedan,automatic,ca,0,253562,white,â€”,carson honda,450,900,Dec
2000,Toyota,Avalon,Sedan,automatic,ca,25,168131,blue,beige,arrowhead auto group inc,2050,3400,Dec
2000,Lexus,RX 300,SUV,automatic,ca,28,199982,silver,gray,hoehn motors inc,3150,3300,Dec
2001,Toyota,Highlander,SUV,automatic,ca,0,136694,black,â€”,east bay bmw,3800,4500,Dec
2001,Toyota,Tundra,Regular Cab,manual,ca,2,293281,white,beige,lon motors,350,1550,Jan
2002,BMW,3 Series,Sedan,automatic,ny,0,117414,red,tan,destination nissan,2850,2900,Dec
2002,BMW,7 Series,Sedan,automatic,mi,36,115971,gray,black,jeffs motorcars inc,4325,5400,Dec
2002,BMW,3 Series,Sedan,automatic,va,0,156079,blue,â€”,ecargarage,2475,2950,Dec
2002,BMW,3 Series,Sedan,automatic,ca,32,123210,black,black,lobel financial corp,2875,2850,Dec
2002,BMW,7 Series,Sedan,automatic,tx,29,163208,gray,gray,automotive remarketing inc,3175,2900,Dec
2002,BMW,3 Series,Sedan,automatic,ny,22,107441,white,black,wayne county ford,3375,3000,Feb
2002,BMW,5 Series,Sedan,automatic,fl,0,185137,green,tan,wright cycles & power sports llc,750,1500,Dec
2002,BMW,3 Series,Sedan,automatic,fl,0,1,blue,tan,obrien hyundai,3725,500,Dec
2002,BMW,3 Series,Convertible,manual,pa,25,145257,silver,gray,bmw of annapolis/mini of annapolis,3950,2900,Dec
2002,BMW,3 Series,Sedan,automatic,fl,2,145390,blue,tan,metro ford inc,2750,2500,Jan
2002,BMW,X5,SUV,automatic,ga,0,134725,blue,tan,global imports,4125,2450,Dec
2002,BMW,X5,SUV,automatic,pr,23,65305,black,beige,pa distributors,6200,4000,Dec
2002,BMW,3 Series,Sedan,automatic,mi,19,204800,silver,gray,erhard bmw of farmington hills,1375,1650,Mar
2002,BMW,3 Series,Sedan,automatic,pa,19,161209,blue,beige,j magnone auto group llc,2750,2000,Jan
2002,BMW,5 Series,Sedan,manual,pa,19,141305,blue,beige,j magnone auto group llc,2950,2750,Dec
2002,BMW,M3,Convertible,manual,ca,34,60393,black,black,high bid trading co inc,12000,14000,Dec
2002,BMW,3 Series,Sedan,automatic,nc,0,146404,blue,gray,richmond bmw crown mini of richmond,3325,3900,Dec
2002,BMW,X5,SUV,automatic,pa,34,144202,silver,black,crestwood motors inc,5250,5500,Dec
2002,BMW,X5,SUV,automatic,wi,0,158938,burgundy,tan,autosource motors inc,3450,3500,Dec
2002,BMW,X5,SUV,automatic,va,34,136671,white,black,primeritus remarketing/aras,4100,3100,Dec
2002,BMW,X5,SUV,automatic,fl,19,152054,red,beige,innovate loan servicing corp,3425,2100,Dec
2002,BMW,Z3,Convertible,automatic,md,2,1,red,beige,355 toyota,10950,5000,Feb
2002,BMW,X5,SUV,automatic,nc,0,158420,white,tan,triangle auto sales inc,3575,3200,Dec
2002,Lexus,LS 430,Sedan,automatic,tx,2,119896,black,black,automotive services finance,7575,4600,Dec
2002,Lexus,SC 430,Convertible,automatic,az,0,128864,purple,beige,airpark motorcars llc,7775,8900,Dec
2002,Lexus,LS 430,Sedan,automatic,tx,0,38159,black,gray,lewisville mitsubishi,9500,11700,Dec
